Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index
Urban,2013,April,141.3676298961642,139.88734057787977,130.75888978179236,129.15524302031756,125.94794949736793,135.07640029345532,135.32311517983607,129.03188557712718,125.82459205417757,127.67495370203312,133.47275353198052,136.43333216854938,134.21289819112275,133.84282586155163,133.1026812024094,131.25231955455385,132.85596631602866,123.97423040632202,131.25231955455385,131.37567699774422,130.38881745222128,129.52531534988867,128.29174091798498,129.77203023626942,127.304881372462,129.64867279307904,130.38881745222128
Rural+Urban,2013,April,137.6669066004531,136.80340449812053,131.4990344409346,130.38881745222128,128.78517069074647,134.33625563431312,130.14210256584053,129.8953876794598,127.67495370203312,127.42823881565238,132.23917910007683,135.1997577366457,132.85596631602866,132.6092514296479,133.22603864559977,131.99246421369608,133.1026812024094,123.97423040632202,131.37567699774422,131.12896211136348,129.8953876794598,129.15524302031756,128.53845580436573,129.52531534988867,126.9348090428909,129.27860046350793,130.88224722498273
Rural,2013,May,136.0873544440907,134.73752495907266,129.9517658758269,131.91515421767133,129.21549524763526,132.65142484586298,131.66973067494075,130.19718941855746,127.25210690579085,127.62024221988668,131.79244244630604,134.86023673043795,132.65142484586298,132.65142484586298,133.5104072454199,132.40600130313243,133.26498370268934,123.32533022210202,131.91515421767133,131.0561718181144,129.70634233309636,127.74295399125194,128.84735993353942,129.4609187903658,125.28871856394643,128.60193639080887,131.5470189035755
Urban,2013,May,141.6093841555281,140.1368428991448,126.0249891921381,129.4609187903658,124.55244793575478,135.71921912999485,151.79446117884598,129.09278347626997,125.0432950212159,128.84735993353942,133.87854255951572,136.5782015295518,136.33277798682124,134.73752495907266,133.14227193132407,130.9334600467491,132.89684838859353,123.32533022210202,131.5470189035755,131.4243071322102,130.31990118992275,127.4975304485214,128.35651284807832,129.70634233309636,125.9022774207728,128.72464816217416,130.81074827538384
Rural+Urban,2013,May,137.80531924320454,136.5782015295518,128.4792246194436,131.0561718181144,127.4975304485214,134.12396610224627,138.5415898713962,129.82905410446162,126.51583627759918,127.9883775339825,132.65142484586298,135.5965073586296,134.001254330881,133.26498370268934,133.38769547405462,131.79244244630604,133.14227193132407,123.32533022210202,131.79244244630604,131.17888358947968,129.9517658758269,127.62024221988668,128.60193639080887,129.58363056173107,125.53414210667698,128.60193639080887,131.17888358947968
Rural,2013,June,137.08402501334456,136.83988605517297,131.9571068917413,132.20124584991288,129.27157835185386,133.29987116168502,144.0419853212347,130.370203663626,127.0743277283096,128.6612309564249,132.0791763708271,135.49712178522927,135.0088438688861,133.05573220351343,133.91021855711398,132.81159324534184,133.6660795989424,130.1260647054544,132.44538480808447,131.22469001722655,129.75985626819704,128.17295304008175,128.9053699145965,130.00399522636863,125.12121606293694,128.7833004355107,132.93366272442765
Urban,2013,June,142.82129053037679,146.60544438203635,137.32816397151615,130.98055105905496,123.65638231390743,137.20609449243037,175.2917719671975,128.6612309564249,123.77845179299322,129.88192574728282,134.27642699437135,136.96195553425878,140.37990094866095,135.3750523061435,133.29987116168502,130.85848157996918,132.93366272442765,130.1260647054544,131.8350374126555,131.46882897539814,130.00399522636863,128.4170919982533,128.4170919982533,131.9571068917413,126.09777189562327,129.51571731002545,133.91021855711398
Rural+Urban,2013,June,138.91506719963144,140.25783146957517,134.03228803619976,131.71296793356973,127.1963972073954,135.1309133479719,154.66203000169864,129.75985626819704,125.97570241653749,129.0274393936823,133.05573220351343,136.229538659744,136.96195553425878,133.6660795989424,133.6660795989424,131.9571068917413,133.4219406407708,130.1260647054544,132.20124584991288,131.34675949631233,129.88192574728282,128.29502251916753,128.6612309564249,131.10262053814077,125.48742450019431,129.14950887276808,133.4219406407708
Rural,2013,July,137.70224218368128,139.52370041362417,134.18075627245838,132.7235896885041,128.95924267995548,133.93789517513267,156.88826887241288,130.0521176179212,126.65206225536117,129.20210377728122,132.48072859117838,136.12364505106413,137.3379505376927,133.33074243181838,134.18075627245838,132.9664507858298,133.93789517513267,130.78070090989837,132.9664507858298,131.50928420187552,129.8092565205955,129.68782597193263,129.20210377728122,130.90213145856123,124.46631237942972,129.32353432594405,134.42361736978413
Urban,2013,July,143.04518632484704,144.74521400612707,138.43082547565842,131.50928420187552,122.7662846981497,137.45938108635556,195.38175279853897,127.62350664466403,123.00914579547543,130.53783981257266,134.05932572379555,137.3379505376927,142.68089467885846,135.6379228564127,133.33074243181838,130.90213145856123,132.9664507858298,130.78070090989837,131.8735758478641,131.26642310454977,130.0521176179212,130.2949787152469,128.5949510339669,133.69503407780695,125.31632622006974,130.2949787152469,135.27363121042413
Rural+Urban,2013,July,139.40226986496128,141.34515864356703,135.88078395373842,132.23786749385266,126.65206225536117,135.6379228564127,170.00276812800158,129.20210377728122,125.4377567687326,129.68782597193263,133.08788133449266,136.73079779437842,139.28083931629845,133.93789517513267,133.8164646264698,132.1164369451898,133.5736035291441,130.78070090989837,132.60215913984123,131.38785365321266,129.93068706925834,130.0521176179212,128.83781213129262,132.48072859117838,124.8306040254183,129.8092565205955,134.78790901577267
